"Id";"Name";"CategoryName";"Value"
291801;"Tûzkõ Birtok Bátaapáti Grüner Veltliner 2014 (0,75 l)";"Fehér borok";1315
291901;"Fanti Brunello Di Montalcino DOCG 2008 (0,75 l)";"Vörösborok";11185
292001;"Fanti Rosso Di Montalcino DOC 2011 (0,75 l)";"Vörösborok";4320
292101;"Fantinel borokgoTesis Pinot Grigio 2013 (0,75 l)";"Vörösborok";2930
292201;"Fantinel Spumanti Prosecco Exra Dry (0,75 l)";"Pezsgõk";2525
292301;"Fantinel Spumanti Rosé Brut (0,75 l)";"Rosé borok";3770
292401;"Figula Balatonszõlõsi Olaszrizling 2014 (0,75 l)";"Fehér borok";1445
292501;"Figula Balázs-hegy Chardonnay 2013 (0,75 l)";"Fehér borok";2960
292601;"Gere Villányi Kopar Cuvée 2011 (0,75 l)";"Vörösborok";7775
292701;"Haraszthy Vallejo HVP Etyek-Budai Sauvignon Blanc 2014 (0,75 l)";"Fehér borok";1945
292801;"Haraszthy Vallejo HVP Sir Irsai Cuvée 2014 (0,75 l)";"Fehér borok";1490
292901;"Haraszthy Etyek-Budai Chardonnay 2013 (0,75 l)";"Fehér borok";1490
293001;"Janus Villányi borokdó 2008 (0,75 l)";"Vörösborok";2005
293101;"Janus Villányi Cabernet Franc 2011 (0,75 l)";"Vörösborok";2380
293201;"Janus Villányi Pinot Noir 2011 (0,75 l)";"Vörösborok";2005
293301;"Janus Villányi Portugieser 2013 (0,75 l)";"Vörösborok";1480
293401;"Jekl Villányi Cabernet Sauvignon barrique 2011 (0,75 l)";"Vörösborok";2650
293501;"Juhász Egri Bikavér 2011 (0,75 l)";"Vörösborok";2170
293601;"Juhász Egri Egri Csillag 2013 (0,75 l)";"Vörösborok";1600
293701;"Juhász Egri Gyöngyborok (Cs.F-Rizl.szilváni) 2014 (0,75 l)";"Fehér borok";1375
293801;"Juhász Egri Paptag Cuvée Superior 2011 (0,75 l)";"Vörösborok";2575
293901;"Juhász Rosé 2014 (0,75 l)";"Rosé borok";1160
294001;"Ken Forrester Petit Chenin Blanc 2014 (0,75 l)";"Fehér borok";2515
294101;"Ken Forrester Petit Pinotage 2013 (0,75 l)";"Fehér borok";2515
294201;"Lajvér Pannon Cuvée Blanc 2014 (0,75 l)";"Fehér borok";1475
294301;"Lajvér Szekszárdi Rosé 2014 (0,75 l)";"Fehér borok";1475
294401;"Lajvér Szekszárdi Triangulum Cuvée 2012 (0,75 l)";"Vörösborok";1550
294501;"Laposa Badacsonyi Illatos Friss 2013 (0,75 l)";"Fehér borok";1640
294601;"Laposa Badacsonyi Rizling 2 2012 (0,75 l)";"Fehér borok";2460
294701;"Laposa Badacsonyi Rizling Friss 2013 (0,75 l)";"Fehér borok";1460
294801;"Luigi Bosca Chardonnay 2012 (0,75 l)";"Fehér borok";3500
294901;"Luigi Bosca Malbec 2011 (0,75 l)";"Vörösborok";3500
295001;"Luigi Bosca Syrah 2011 (0,75 l)";"Vörösborok";3500
295101;"Olasz Cast. Di Verrazzano Chianti Classico 2012 (0,75 l)";"Vörösborok";3770
295201;"Furlan Conegliano Valdobbiadene Prosecco Spumante (0,75 l)";"Vörösborok";3215
295301;"Chateau Megyer Tokaji 3 putt. Aszú 2010 (0,5 l)";"Fehér borok";3290
295401;"Chateau Megyer Tokaji Édes Szamorodni 2010 (0,5 l)";"Fehér borok";1940
295501;"Andrássy Tokaji Száraz Szamorodni 2008 (0,5 l)";"Fehér borok";2245
295601;"Palo Alto Cabernet Sauvignon 2010 (0,75 l)";"Vörösborok";1720
295701;"Palo Alto Malbec Oak 2010 (0,75 l)";"Vörösborok";2340
295801;"Palo Alto Pinot Noir 2008 (0,75 l)";"Vörösborok";3410
295901;"Patricius Tokaji Hárslevelû pezsgõ (0,75 l)";"Fehér borok";3815
296001;"Patricius Tokaji Katinka 2012 (0,375 l)";"Fehér borok";2765
296101;"Patricius Tokaji Sárgamuskotály 2013 (0,75 l)";"Fehér borok";1870
296201;"Santa Carolina Cellar Selection Rosé 2014 (0,75 l)";"Rosé borok";1490
296301;"Santa Carolina Cellar Selection Cabernet Sauvignon 2013 (0,75 l)";"Fehér borok";1490
296401;"Santa Carolina Cellar Selection Sauvignon Blanc 2014 (0,75 l)";"Fehér borok";1490
